date,close
1-Jan-18,772.64
2-Jan-18,884.44
3-Jan-18,962.72
4-Jan-18,980.92
5-Jan-18,997.72
6-Jan-18,1041.68
7-Jan-18,1153.17
8-Jan-18,1148.53
9-Jan-18,1299.74
10-Jan-18,1255.82
11-Jan-18,1154.93
12-Jan-18,1273.2
13-Jan-18,1396.42
14-Jan-18,1366.77
15-Jan-18,1291.92
16-Jan-18,1053.69
17-Jan-18,1014.25
18-Jan-18,1036.28
19-Jan-18,1039.1
20-Jan-18,1155.15
21-Jan-18,1049.58
22-Jan-18,1003.26
23-Jan-18,986.23
24-Jan-18,1058.78
25-Jan-18,1056.03
26-Jan-18,1055.17
27-Jan-18,1107.07
28-Jan-18,1246.01
29-Jan-18,1182.36
30-Jan-18,1071.13
31-Jan-18,1118.31
1-Feb-18,1036.79
2-Feb-18,915.78
3-Feb-18,964.02
4-Feb-18,834.68
5-Feb-18,697.95
6-Feb-18,793.12
7-Feb-18,757.07
8-Feb-18,817.81
9-Feb-18,883.86
10-Feb-18,860.41
11-Feb-18,814.66
12-Feb-18,868.71
13-Feb-18,845.26
14-Feb-18,923.56
15-Feb-18,936.98
16-Feb-18,944.21
17-Feb-18,974.11
18-Feb-18,923.92
19-Feb-18,943.86
20-Feb-18,895.37
21-Feb-18,849.97
22-Feb-18,812.84
23-Feb-18,864.19
24-Feb-18,840.52
25-Feb-18,844.81
26-Feb-18,869.32
27-Feb-18,878.27
28-Feb-18,855.2
1-Mar-18,872.2
2-Mar-18,856.85
3-Mar-18,857.22
4-Mar-18,866.68
5-Mar-18,853.68
6-Mar-18,816.95
7-Mar-18,752.83
8-Mar-18,704.6
9-Mar-18,728.92
10-Mar-18,686.89
11-Mar-18,723.34
12-Mar-18,699.83
13-Mar-18,690.83
14-Mar-18,614.29
15-Mar-18,611.3
16-Mar-18,601.67
17-Mar-18,552.78
18-Mar-18,538.64
19-Mar-18,556.73
20-Mar-18,557.17
21-Mar-18,561.73
22-Mar-18,539.7
23-Mar-18,539.62
24-Mar-18,526.44
25-Mar-18,524.29
26-Mar-18,489.95
27-Mar-18,450.12
28-Mar-18,446.28
29-Mar-18,385.97
30-Mar-18,394.64
31-Mar-18,396.46
1-Apr-18,379.61
2-Apr-18,386.42
3-Apr-18,416.89
4-Apr-18,380.54
5-Apr-18,383.23
6-Apr-18,370.29
7-Apr-18,385.31
8-Apr-18,400.51
9-Apr-18,398.53
10-Apr-18,414.24
11-Apr-18,430.54
12-Apr-18,492.94
13-Apr-18,492.73
14-Apr-18,501.48
15-Apr-18,531.7
16-Apr-18,511.15
17-Apr-18,502.89
18-Apr-18,524.79
19-Apr-18,567.89
20-Apr-18,615.72
21-Apr-18,605.4
22-Apr-18,621.86
23-Apr-18,642.55
24-Apr-18,708.16
25-Apr-18,615.42
26-Apr-18,662.81
27-Apr-18,647.03
28-Apr-18,683.68
29-Apr-18,688.88
30-Apr-18,669.92
1-May-18,673.61
2-May-18,687.15
3-May-18,779.54
4-May-18,785.62
5-May-18,816.12
6-May-18,792.31
7-May-18,753.72
8-May-18,752.86
9-May-18,752.28
10-May-18,727.28
11-May-18,679.59
12-May-18,686.05
13-May-18,733.5
14-May-18,730.55
15-May-18,708.87
16-May-18,707.05
17-May-18,672.66
18-May-18,694.37
19-May-18,696.53
20-May-18,715.37
21-May-18,699.22
22-May-18,647.74
23-May-18,583.59
24-May-18,601.76
25-May-18,586.73
26-May-18,587.28
27-May-18,572.67
28-May-18,516.04
29-May-18,565.39
30-May-18,559.59
31-May-18,577.65
1-Jun-18,580.04
2-Jun-18,591.81
3-Jun-18,618.33
4-Jun-18,592.98
5-Jun-18,609.3
6-Jun-18,607.12
7-Jun-18,605.19
8-Jun-18,601.08
9-Jun-18,597.56
10-Jun-18,526.48
11-Jun-18,533.28
12-Jun-18,496.84
13-Jun-18,477.49
14-Jun-18,519.74
15-Jun-18,491
16-Jun-18,499.64
17-Jun-18,500.45
18-Jun-18,518.89
19-Jun-18,537.96
20-Jun-18,536.27
21-Jun-18,527.37
22-Jun-18,465.82
23-Jun-18,474.52
24-Jun-18,457.67
25-Jun-18,460.31
26-Jun-18,432.77
27-Jun-18,442.36
28-Jun-18,422.36
29-Jun-18,436.01
30-Jun-18,455.18
1-Jul-18,453.92
2-Jul-18,475.35
3-Jul-18,464.2
4-Jul-18,467.32
5-Jul-18,474.41
6-Jul-18,474.01
7-Jul-18,491.66
8-Jul-18,489.12
9-Jul-18,476.68
10-Jul-18,434.42
11-Jul-18,446.52
12-Jul-18,430.07
13-Jul-18,434.03
14-Jul-18,436.09
15-Jul-18,449.85
16-Jul-18,480.66
17-Jul-18,501
18-Jul-18,480.51
19-Jul-18,469.62
20-Jul-18,450.7
21-Jul-18,462.44
22-Jul-18,459.66
23-Jul-18,450.85
24-Jul-18,479.37
25-Jul-18,472.49
26-Jul-18,464.04
27-Jul-18,469.67
28-Jul-18,466.9
29-Jul-18,466.67
30-Jul-18,457.08
31-Jul-18,433.87
1-Aug-18,420.75
2-Aug-18,412.62
3-Aug-18,418.26
4-Aug-18,407.25
5-Aug-18,410.52
6-Aug-18,406.66
7-Aug-18,380.21
8-Aug-18,356.61
9-Aug-18,365.59
10-Aug-18,334.18
11-Aug-18,322.11
12-Aug-18,319.57
13-Aug-18,286.5
14-Aug-18,278.93
15-Aug-18,282.36
16-Aug-18,288.05
17-Aug-18,315.73
18-Aug-18,295.81
19-Aug-18,300.83
20-Aug-18,274.31
21-Aug-18,281.94
22-Aug-18,271.34
23-Aug-18,277.1
24-Aug-18,282.97
25-Aug-18,279.65
26-Aug-18,275.2
27-Aug-18,285.6
28-Aug-18,296.5
29-Aug-18,289.31
30-Aug-18,284.11
31-Aug-18,283
1-Sep-18,295.34
2-Sep-18,294.37
3-Sep-18,289.26
4-Sep-18,285.72
5-Sep-18,232.33
6-Sep-18,230.22
7-Sep-18,217.2
8-Sep-18,197.95
9-Sep-18,196.92
10-Sep-18,197.08
11-Sep-18,185.07
12-Sep-18,183.33
13-Sep-18,211.35
14-Sep-18,211.75
15-Sep-18,223.07
16-Sep-18,220.59
17-Sep-18,197.88
18-Sep-18,209.97
19-Sep-18,209.97
20-Sep-18,224.59
21-Sep-18,246.58
22-Sep-18,240.48
23-Sep-18,244.33
24-Sep-18,228.73
25-Sep-18,218.5
26-Sep-18,215.85
27-Sep-18,228.49
28-Sep-18,222.4
29-Sep-18,231.63
30-Sep-18,232.85
1-Oct-18,230.77
2-Oct-18,227.18
3-Oct-18,220.49
4-Oct-18,222.22
5-Oct-18,227.6
6-Oct-18,225.12
7-Oct-18,226.12
8-Oct-18,229.25
9-Oct-18,227.98
10-Oct-18,225.77
11-Oct-18,189.5
12-Oct-18,196.73
13-Oct-18,199.84
14-Oct-18,195.72
15-Oct-18,209.7
16-Oct-18,210.12
17-Oct-18,207.08
18-Oct-18,203.35
19-Oct-18,203.73
20-Oct-18,205.43
21-Oct-18,205.14
22-Oct-18,204.04
23-Oct-18,204.34
24-Oct-18,203.85
25-Oct-18,202.72
26-Oct-18,203.33
27-Oct-18,204.21
28-Oct-18,205.37
29-Oct-18,197.25
30-Oct-18,197.56
31-Oct-18,197.38
1-Nov-18,198.87
2-Nov-18,200.63
3-Nov-18,200.19
4-Nov-18,207.49
5-Nov-18,209.09
6-Nov-18,218.45
7-Nov-18,217.18
8-Nov-18,212.23
9-Nov-18,210.07
10-Nov-18,212.53
11-Nov-18,211.34
12-Nov-18,210.42
13-Nov-18,206.83
14-Nov-18,181.4
15-Nov-18,180.81
16-Nov-18,175.18
17-Nov-18,174
18-Nov-18,177.07
19-Nov-18,149.18
20-Nov-18,130.34
21-Nov-18,136.7
22-Nov-18,126.71
23-Nov-18,123.3
24-Nov-18,113.49
25-Nov-18,116.45
26-Nov-18,108.33
27-Nov-18,110.01
28-Nov-18,122.44
