date,close
1-Jan-18,13657.2
2-Jan-18,14982.1
3-Jan-18,15201
4-Jan-18,15599.2
5-Jan-18,17429.5
6-Jan-18,17527
7-Jan-18,16477.6
8-Jan-18,15170.1
9-Jan-18,14595.4
10-Jan-18,14973.3
11-Jan-18,13405.8
12-Jan-18,13980.6
13-Jan-18,14360.2
14-Jan-18,13772
15-Jan-18,13819.8
16-Jan-18,11490.5
17-Jan-18,11188.6
18-Jan-18,11474.9
19-Jan-18,11607.4
20-Jan-18,12899.2
21-Jan-18,11600.1
22-Jan-18,10931.4
23-Jan-18,10868.4
24-Jan-18,11359.4
25-Jan-18,11259.4
26-Jan-18,11171.4
27-Jan-18,11440.7
28-Jan-18,11786.3
29-Jan-18,11296.4
30-Jan-18,10106.3
31-Jan-18,10221.1
1-Feb-18,9170.54
2-Feb-18,8830.75
3-Feb-18,9174.91
4-Feb-18,8277.01
5-Feb-18,6955.27
6-Feb-18,7754
7-Feb-18,7621.3
8-Feb-18,8265.59
9-Feb-18,8736.98
10-Feb-18,8621.9
11-Feb-18,8129.97
12-Feb-18,8926.57
13-Feb-18,8598.31
14-Feb-18,9494.63
15-Feb-18,10166.4
16-Feb-18,10233.9
17-Feb-18,11112.7
18-Feb-18,10551.8
19-Feb-18,11225.3
20-Feb-18,11403.7
21-Feb-18,10690.4
22-Feb-18,10005
23-Feb-18,10301.1
24-Feb-18,9813.07
25-Feb-18,9664.73
26-Feb-18,10366.7
27-Feb-18,10725.6
28-Feb-18,10397.9
1-Mar-18,10951
2-Mar-18,11086.4
3-Mar-18,11489.7
4-Mar-18,11512.6
5-Mar-18,11573.3
6-Mar-18,10779.9
7-Mar-18,9965.57
8-Mar-18,9395.01
9-Mar-18,9337.55
10-Mar-18,8866
11-Mar-18,9578.63
12-Mar-18,9205.12
13-Mar-18,9194.85
14-Mar-18,8269.81
15-Mar-18,8300.86
16-Mar-18,8338.35
17-Mar-18,7916.88
18-Mar-18,8223.68
19-Mar-18,8630.65
20-Mar-18,8913.47
21-Mar-18,8929.28
22-Mar-18,8728.47
23-Mar-18,8879.62
24-Mar-18,8668.12
25-Mar-18,8495.78
26-Mar-18,8209.4
27-Mar-18,7833.04
28-Mar-18,7954.48
29-Mar-18,7165.7
30-Mar-18,6890.52
31-Mar-18,6973.53
1-Apr-18,6844.23
2-Apr-18,7083.8
3-Apr-18,7456.11
4-Apr-18,6853.84
5-Apr-18,6811.47
6-Apr-18,6636.32
7-Apr-18,6911.09
8-Apr-18,7023.52
9-Apr-18,6770.73
10-Apr-18,6834.76
11-Apr-18,6968.32
12-Apr-18,7889.25
13-Apr-18,7895.96
14-Apr-18,7986.24
15-Apr-18,8329.11
16-Apr-18,8058.67
17-Apr-18,7902.09
18-Apr-18,8163.42
19-Apr-18,8294.31
20-Apr-18,8845.83
21-Apr-18,8895.58
22-Apr-18,8802.46
23-Apr-18,8930.88
24-Apr-18,9697.5
25-Apr-18,8845.74
26-Apr-18,9281.51
27-Apr-18,8987.05
28-Apr-18,9348.48
29-Apr-18,9419.08
30-Apr-18,9240.55
1-May-18,9119.01
2-May-18,9235.92
3-May-18,9743.86
4-May-18,9700.76
5-May-18,9858.15
6-May-18,9654.8
7-May-18,9373.01
8-May-18,9234.82
9-May-18,9325.18
10-May-18,9043.94
11-May-18,8441.49
12-May-18,8504.89
13-May-18,8723.94
14-May-18,8716.79
15-May-18,8510.38
16-May-18,8368.83
17-May-18,8094.32
18-May-18,8250.97
19-May-18,8247.18
20-May-18,8513.25
21-May-18,8418.99
22-May-18,8041.78
23-May-18,7557.82
24-May-18,7587.34
25-May-18,7480.14
26-May-18,7355.88
27-May-18,7368.22
28-May-18,7135.99
29-May-18,7472.59
30-May-18,7406.52
31-May-18,7494.17
1-Jun-18,7541.45
2-Jun-18,7643.45
3-Jun-18,7720.25
4-Jun-18,7514.47
5-Jun-18,7633.76
6-Jun-18,7653.98
7-Jun-18,7678.24
8-Jun-18,7624.92
9-Jun-18,7531.98
10-Jun-18,6786.02
11-Jun-18,6906.92
12-Jun-18,6582.36
13-Jun-18,6349.9
14-Jun-18,6675.35
15-Jun-18,6456.58
16-Jun-18,6550.16
17-Jun-18,6499.27
18-Jun-18,6734.82
19-Jun-18,6769.94
20-Jun-18,6776.55
21-Jun-18,6729.74
22-Jun-18,6083.69
23-Jun-18,6162.48
24-Jun-18,6173.23
25-Jun-18,6249.18
26-Jun-18,6093.67
27-Jun-18,6157.13
28-Jun-18,5903.44
29-Jun-18,6218.3
30-Jun-18,6404
1-Jul-18,6385.82
2-Jul-18,6614.18
3-Jul-18,6529.59
4-Jul-18,6597.55
5-Jul-18,6639.14
6-Jul-18,6673.5
7-Jul-18,6856.93
8-Jul-18,6773.88
9-Jul-18,6741.75
10-Jul-18,6329.95
11-Jul-18,6394.71
12-Jul-18,6228.81
13-Jul-18,6238.05
14-Jul-18,6276.12
15-Jul-18,6359.64
16-Jul-18,6741.75
17-Jul-18,7321.04
18-Jul-18,7370.78
19-Jul-18,7466.86
20-Jul-18,7354.13
21-Jul-18,7419.29
22-Jul-18,7418.49
23-Jul-18,7711.11
24-Jul-18,8424.27
25-Jul-18,8181.39
26-Jul-18,7951.58
27-Jul-18,8165.01
28-Jul-18,8192.15
29-Jul-18,8218.46
30-Jul-18,8180.48
31-Jul-18,7780.44
1-Aug-18,7624.91
2-Aug-18,7567.15
3-Aug-18,7434.39
4-Aug-18,7032.85
5-Aug-18,7068.48
6-Aug-18,6951.8
7-Aug-18,6753.12
8-Aug-18,6305.8
9-Aug-18,6568.23
10-Aug-18,6184.71
11-Aug-18,6295.73
12-Aug-18,6322.69
13-Aug-18,6297.57
14-Aug-18,6199.71
