date,bitcoin,eth
1/1/2018,-25.16,44.7388
2/1/2018,13.3837,-17.515
3/1/2018,-36.321,-54.545
4/1/2018,35.0123,76.4759
5/1/2018,-17.818,-14.246
6/1/2018,-15.083,-21.526
7/1/2018,21.8393,-4.417
8/1/2018,-7.703,-32.739
9/1/2018,-7.892,-21.159
10/1/2018,-4.128,-14.469
11/1/2018,-37.011,-43.093
12/1/2018,-7.548,-7.704
